Player,Team,Season,Date,Status,Opp,Injury,Week
Carl Nassib,CLE,2016,2016-10-02,Out,WAS,hand,4
Rajion Neal,CLE,2016,2016-10-02,Injured Reserve,WAS,Knee,4
Nate Orchard,CLE,2016,2016-10-02,Out,WAS,ankle,4
Dennis Parks,CLE,2016,2016-10-02,Injured Reserve,WAS,Undisclosed,4
Tramon Williams,CLE,2016,2016-10-02,Doubtful,WAS,shoulder,4
Glenn Winston,CLE,2016,2016-10-02,Injured Reserve,WAS,Shoulder,4
Dylan Wynn,CLE,2016,2016-10-02,Injured Reserve,WAS,Ankle,4
Ibraheim Campbell,CLE,2016,2016-10-09,Questionable,NWE,hamstring,5
Corey Coleman,CLE,2016,2016-10-09,Out,NWE,hand,5
Seth Devalve,CLE,2016,2016-10-09,Out,NWE,knee,5
Cameron Erving,CLE,2016,2016-10-09,Out,NWE,"chest, lung",5
Robert Griffin,CLE,2016,2016-10-09,Injured Reserve,NWE,Shoulder,5
Rannell Hall,CLE,2016,2016-10-09,Injured Reserve,NWE,Leg,5
Nile Lawrence-Stample,CLE,2016,2016-10-09,Injured Reserve,NWE,Shoulder,5
Patrick Murray,CLE,2016,2016-10-09,Injured Reserve,NWE,Knee,5
Carl Nassib,CLE,2016,2016-10-09,Questionable,NWE,hand,5
Rajion Neal,CLE,2016,2016-10-09,Injured Reserve,NWE,Knee,5
Nate Orchard,CLE,2016,2016-10-09,Out,NWE,ankle,5
Dennis Parks,CLE,2016,2016-10-09,Injured Reserve,NWE,Undisclosed,5
Austin Reiter,CLE,2016,2016-10-09,Injured Reserve,NWE,Knee,5
Randall Telfer,CLE,2016,2016-10-09,Out,NWE,ankle,5
Tramon Williams,CLE,2016,2016-10-09,Questionable,NWE,shoulder,5
Glenn Winston,CLE,2016,2016-10-09,Injured Reserve,NWE,Shoulder,5
Dylan Wynn,CLE,2016,2016-10-09,Injured Reserve,NWE,Ankle,5
Gary Barnidge,CLE,2016,2016-10-16,Questionable,TEN,"forearm, Hip",6
Joel Bitonio,CLE,2016,2016-10-16,Injured Reserve,TEN,Foot,6
Corey Coleman,CLE,2016,2016-10-16,Out,TEN,hand,6
Jamie Collins,CLE,2016,2016-10-16,Questionable,TEN,Hip,6
Xavier Cooper,CLE,2016,2016-10-16,Questionable,TEN,shoulder,6
Seth Devalve,CLE,2016,2016-10-16,Out,TEN,knee,6
Robert Griffin,CLE,2016,2016-10-16,Injured Reserve,TEN,Shoulder,6
Joe Haden,CLE,2016,2016-10-16,Questionable,TEN,groin,6
Rannell Hall,CLE,2016,2016-10-16,Injured Reserve,TEN,Leg,6
Nile Lawrence-Stample,CLE,2016,2016-10-16,Injured Reserve,TEN,Shoulder,6
Patrick Murray,CLE,2016,2016-10-16,Injured Reserve,TEN,Knee,6
Rajion Neal,CLE,2016,2016-10-16,Injured Reserve,TEN,Knee,6
Nate Orchard,CLE,2016,2016-10-16,Out,TEN,ankle,6
Dennis Parks,CLE,2016,2016-10-16,Injured Reserve,TEN,Undisclosed,6
Austin Reiter,CLE,2016,2016-10-16,Injured Reserve,TEN,Knee,6
Randall Telfer,CLE,2016,2016-10-16,Out,TEN,ankle,6
Tramon Williams,CLE,2016,2016-10-16,Questionable,TEN,shoulder,6
Glenn Winston,CLE,2016,2016-10-16,Injured Reserve,TEN,Shoulder,6
Dylan Wynn,CLE,2016,2016-10-16,Injured Reserve,TEN,Ankle,6
Joel Bitonio,CLE,2016,2016-10-23,Injured Reserve,CIN,Foot,7
Marcus Burley,CLE,2016,2016-10-23,Out,CIN,hamstring,7
Corey Coleman,CLE,2016,2016-10-23,Out,CIN,hand,7
Jamie Collins,CLE,2016,2016-10-23,Questionable,CIN,Hip,7
Xavier Cooper,CLE,2016,2016-10-23,Questionable,CIN,shoulder,7
Seth Devalve,CLE,2016,2016-10-23,Out,CIN,knee,7
Robert Griffin,CLE,2016,2016-10-23,Injured Reserve,CIN,Shoulder,7
Joe Haden,CLE,2016,2016-10-23,Doubtful,CIN,groin,7
Rannell Hall,CLE,2016,2016-10-23,Injured Reserve,CIN,Leg,7
Nile Lawrence-Stample,CLE,2016,2016-10-23,Injured Reserve,CIN,Shoulder,7
Patrick Murray,CLE,2016,2016-10-23,Injured Reserve,CIN,Knee,7
Rajion Neal,CLE,2016,2016-10-23,Injured Reserve,CIN,Knee,7
Nate Orchard,CLE,2016,2016-10-23,Out,CIN,ankle,7
Dennis Parks,CLE,2016,2016-10-23,Injured Reserve,CIN,Undisclosed,7
Jordan Poyer,CLE,2016,2016-10-23,Injured Reserve,CIN,Kidney,7
Austin Reiter,CLE,2016,2016-10-23,Injured Reserve,CIN,Knee,7
Randall Telfer,CLE,2016,2016-10-23,Questionable,CIN,ankle,7
Glenn Winston,CLE,2016,2016-10-23,Injured Reserve,CIN,Shoulder,7
Dylan Wynn,CLE,2016,2016-10-23,Injured Reserve,CIN,Ankle,7
Joel Bitonio,CLE,2016,2016-10-30,Injured Reserve,NYJ,Foot,8
Marcus Burley,CLE,2016,2016-10-30,Questionable,NYJ,hamstring,8
Corey Coleman,CLE,2016,2016-10-30,Out,NYJ,hand,8
Robert Griffin,CLE,2016,2016-10-30,Injured Reserve,NYJ,Shoulder,8
Joe Haden,CLE,2016,2016-10-30,Questionable,NYJ,groin,8
Rannell Hall,CLE,2016,2016-10-30,Injured Reserve,NYJ,Leg,8
Cody Kessler,CLE,2016,2016-10-30,Out,NYJ,concussion,8
Nile Lawrence-Stample,CLE,2016,2016-10-30,Injured Reserve,NYJ,Shoulder,8
Patrick Murray,CLE,2016,2016-10-30,Injured Reserve,NYJ,Knee,8
Rajion Neal,CLE,2016,2016-10-30,Injured Reserve,NYJ,Knee,8
Nate Orchard,CLE,2016,2016-10-30,Out,NYJ,ankle,8
Dennis Parks,CLE,2016,2016-10-30,Injured Reserve,NYJ,Undisclosed,8
Jordan Poyer,CLE,2016,2016-10-30,Injured Reserve,NYJ,Kidney,8
Austin Reiter,CLE,2016,2016-10-30,Injured Reserve,NYJ,Knee,8
Jamar Taylor,CLE,2016,2016-10-30,Questionable,NYJ,groin,8
Glenn Winston,CLE,2016,2016-10-30,Injured Reserve,NYJ,Shoulder,8
Dylan Wynn,CLE,2016,2016-10-30,Injured Reserve,NYJ,Ankle,8
Joel Bitonio,CLE,2016,2016-11-06,Injured Reserve,DAL,Foot,9
Tank Carder,CLE,2016,2016-11-06,Questionable,DAL,concussion,9
Cameron Erving,CLE,2016,2016-11-06,Questionable,DAL,shoulder,9
Robert Griffin,CLE,2016,2016-11-06,Injured Reserve,DAL,Shoulder,9
Rannell Hall,CLE,2016,2016-11-06,Injured Reserve,DAL,Leg,9
Nile Lawrence-Stample,CLE,2016,2016-11-06,Injured Reserve,DAL,Shoulder,9
Ricardo Louis,CLE,2016,2016-11-06,Questionable,DAL,hamstring,9
Patrick Murray,CLE,2016,2016-11-06,Injured Reserve,DAL,Knee,9
Rajion Neal,CLE,2016,2016-11-06,Injured Reserve,DAL,Knee,9
Nate Orchard,CLE,2016,2016-11-06,Out,DAL,ankle,9
Dennis Parks,CLE,2016,2016-11-06,Injured Reserve,DAL,Undisclosed,9
Jordan Poyer,CLE,2016,2016-11-06,Injured Reserve,DAL,Kidney,9
Austin Reiter,CLE,2016,2016-11-06,Injured Reserve,DAL,Knee,9
Jamar Taylor,CLE,2016,2016-11-06,Questionable,DAL,groin,9
Glenn Winston,CLE,2016,2016-11-06,Injured Reserve,DAL,Shoulder,9
Dylan Wynn,CLE,2016,2016-11-06,Injured Reserve,DAL,Ankle,9
Joel Bitonio,CLE,2016,2016-11-10,Injured Reserve,BAL,Foot,10
Robert Griffin,CLE,2016,2016-11-10,Injured Reserve,BAL,Shoulder,10
Rannell Hall,CLE,2016,2016-11-10,Injured Reserve,BAL,Leg,10
Nile Lawrence-Stample,CLE,2016,2016-11-10,Injured Reserve,BAL,Shoulder,10
Patrick Murray,CLE,2016,2016-11-10,Injured Reserve,BAL,Knee,10
Rajion Neal,CLE,2016,2016-11-10,Injured Reserve,BAL,Knee,10
Nate Orchard,CLE,2016,2016-11-10,Out,BAL,ankle,10
Dennis Parks,CLE,2016,2016-11-10,Injured Reserve,BAL,Undisclosed,10
Jordan Poyer,CLE,2016,2016-11-10,Injured Reserve,BAL,Kidney,10
Austin Reiter,CLE,2016,2016-11-10,Injured Reserve,BAL,Knee,10
Jamar Taylor,CLE,2016,2016-11-10,Out,BAL,groin,10
Glenn Winston,CLE,2016,2016-11-10,Injured Reserve,BAL,Shoulder,10
Dylan Wynn,CLE,2016,2016-11-10,Injured Reserve,BAL,Ankle,10
Joel Bitonio,CLE,2016,2016-11-20,Injured Reserve,PIT,Foot,11
Robert Griffin,CLE,2016,2016-11-20,Injured Reserve,PIT,Shoulder,11
Rannell Hall,CLE,2016,2016-11-20,Injured Reserve,PIT,Leg,11
Nile Lawrence-Stample,CLE,2016,2016-11-20,Injured Reserve,PIT,Shoulder,11
Patrick Murray,CLE,2016,2016-11-20,Injured Reserve,PIT,Knee,11
Rajion Neal,CLE,2016,2016-11-20,Injured Reserve,PIT,Knee,11
Nate Orchard,CLE,2016,2016-11-20,Out,PIT,ankle,11
Dennis Parks,CLE,2016,2016-11-20,Injured Reserve,PIT,Undisclosed,11
Jordan Poyer,CLE,2016,2016-11-20,Injured Reserve,PIT,Kidney,11
Austin Reiter,CLE,2016,2016-11-20,Injured Reserve,PIT,Knee,11
Tramon Williams,CLE,2016,2016-11-20,Questionable,PIT,knee,11
Glenn Winston,CLE,2016,2016-11-20,Injured Reserve,PIT,Shoulder,11
Dylan Wynn,CLE,2016,2016-11-20,Injured Reserve,PIT,Ankle,11
Joel Bitonio,CLE,2016,2016-11-27,Injured Reserve,NYG,Foot,12
Robert Griffin,CLE,2016,2016-11-27,Injured Reserve,NYG,Shoulder,12
Rannell Hall,CLE,2016,2016-11-27,Injured Reserve,NYG,Leg,12
Cody Kessler,CLE,2016,2016-11-27,Out,NYG,concussion,12
Nile Lawrence-Stample,CLE,2016,2016-11-27,Injured Reserve,NYG,Shoulder,12
Patrick Murray,CLE,2016,2016-11-27,Injured Reserve,NYG,Knee,12
Rajion Neal,CLE,2016,2016-11-27,Injured Reserve,NYG,Knee,12
Nate Orchard,CLE,2016,2016-11-27,Out,NYG,ankle,12
Dennis Parks,CLE,2016,2016-11-27,Injured Reserve,NYG,Undisclosed,12
Jordan Poyer,CLE,2016,2016-11-27,Injured Reserve,NYG,Kidney,12
Austin Reiter,CLE,2016,2016-11-27,Injured Reserve,NYG,Knee,12
Ed Reynolds,CLE,2016,2016-11-27,Questionable,NYG,knee,12
Tramon Williams,CLE,2016,2016-11-27,Questionable,NYG,knee,12
Glenn Winston,CLE,2016,2016-11-27,Injured Reserve,NYG,Shoulder,12
Dylan Wynn,CLE,2016,2016-11-27,Injured Reserve,NYG,Ankle,12
Joel Bitonio,CLE,2016,2016-12-11,Injured Reserve,CIN,Foot,14
John Greco,CLE,2016,2016-12-11,Injured Reserve,CIN,Foot,14
Rannell Hall,CLE,2016,2016-12-11,Injured Reserve,CIN,Leg,14
Derrick Kindred,CLE,2016,2016-12-11,Injured Reserve,CIN,Ankle,14
Nile Lawrence-Stample,CLE,2016,2016-12-11,Injured Reserve,CIN,Shoulder,14
Patrick Murray,CLE,2016,2016-12-11,Injured Reserve,CIN,Knee,14
Rajion Neal,CLE,2016,2016-12-11,Injured Reserve,CIN,Knee,14
Nate Orchard,CLE,2016,2016-12-11,Out,CIN,ankle,14
Dennis Parks,CLE,2016,2016-12-11,Injured Reserve,CIN,Undisclosed,14
Jordan Poyer,CLE,2016,2016-12-11,Injured Reserve,CIN,Kidney,14
Austin Reiter,CLE,2016,2016-12-11,Injured Reserve,CIN,Knee,14
Glenn Winston,CLE,2016,2016-12-11,Injured Reserve,CIN,Shoulder,14
Dylan Wynn,CLE,2016,2016-12-11,Injured Reserve,CIN,Ankle,14
Dominique Alexander,CLE,2016,2016-12-18,Questionable,BUF,abdominal/groin,15
Joel Bitonio,CLE,2016,2016-12-18,Injured Reserve,BUF,Foot,15
John Greco,CLE,2016,2016-12-18,Injured Reserve,BUF,Foot,15
Rannell Hall,CLE,2016,2016-12-18,Injured Reserve,BUF,Leg,15
Derrick Kindred,CLE,2016,2016-12-18,Injured Reserve,BUF,Ankle,15
Nile Lawrence-Stample,CLE,2016,2016-12-18,Injured Reserve,BUF,Shoulder,15
Patrick Murray,CLE,2016,2016-12-18,Injured Reserve,BUF,Knee,15
Rajion Neal,CLE,2016,2016-12-18,Injured Reserve,BUF,Knee,15
Nate Orchard,CLE,2016,2016-12-18,Out,BUF,ankle,15
Dennis Parks,CLE,2016,2016-12-18,Injured Reserve,BUF,Undisclosed,15
Jordan Poyer,CLE,2016,2016-12-18,Injured Reserve,BUF,Kidney,15
Austin Reiter,CLE,2016,2016-12-18,Injured Reserve,BUF,Knee,15
Glenn Winston,CLE,2016,2016-12-18,Injured Reserve,BUF,Shoulder,15
Dylan Wynn,CLE,2016,2016-12-18,Injured Reserve,BUF,Ankle,15
Dominique Alexander,CLE,2016,2016-12-24,Questionable,SDG,"abdominal, groin",16
Joel Bitonio,CLE,2016,2016-12-24,Injured Reserve,SDG,Foot,16
John Greco,CLE,2016,2016-12-24,Injured Reserve,SDG,Foot,16
Rannell Hall,CLE,2016,2016-12-24,Injured Reserve,SDG,Leg,16
Derrick Kindred,CLE,2016,2016-12-24,Injured Reserve,SDG,Ankle,16
Nile Lawrence-Stample,CLE,2016,2016-12-24,Injured Reserve,SDG,Shoulder,16
Patrick Murray,CLE,2016,2016-12-24,Injured Reserve,SDG,Knee,16
Rajion Neal,CLE,2016,2016-12-24,Injured Reserve,SDG,Knee,16
Nate Orchard,CLE,2016,2016-12-24,Out,SDG,ankle,16
Dennis Parks,CLE,2016,2016-12-24,Injured Reserve,SDG,Undisclosed,16
Jordan Poyer,CLE,2016,2016-12-24,Injured Reserve,SDG,Kidney,16
Austin Reiter,CLE,2016,2016-12-24,Injured Reserve,SDG,Knee,16
Randall Telfer,CLE,2016,2016-12-24,Questionable,SDG,"ankle, knee, thumb",16
Glenn Winston,CLE,2016,2016-12-24,Injured Reserve,SDG,Shoulder,16
Dylan Wynn,CLE,2016,2016-12-24,Injured Reserve,SDG,Ankle,16
Joel Bitonio,CLE,2016,2017-01-01,Injured Reserve,PIT,Foot,17
Trey Caldwell,CLE,2016,2017-01-01,Out,PIT,hamstring,17
John Greco,CLE,2016,2017-01-01,Injured Reserve,PIT,Foot,17
Joe Haden,CLE,2016,2017-01-01,Questionable,PIT,"nack, groin",17
Rannell Hall,CLE,2016,2017-01-01,Injured Reserve,PIT,Leg,17
Cam Johnson,CLE,2016,2017-01-01,Questionable,PIT,groin,17
Duke Johnson,CLE,2016,2017-01-01,Questionable,PIT,ankle,17
Derrick Kindred,CLE,2016,2017-01-01,Injured Reserve,PIT,Ankle,17
Nile Lawrence-Stample,CLE,2016,2017-01-01,Injured Reserve,PIT,Shoulder,17
Patrick Murray,CLE,2016,2017-01-01,Injured Reserve,PIT,Knee,17
Rajion Neal,CLE,2016,2017-01-01,Injured Reserve,PIT,Knee,17
Nate Orchard,CLE,2016,2017-01-01,Out,PIT,ankle,17
Dennis Parks,CLE,2016,2017-01-01,Injured Reserve,PIT,Undisclosed,17
Jordan Poyer,CLE,2016,2017-01-01,Injured Reserve,PIT,Kidney,17
Austin Reiter,CLE,2016,2017-01-01,Injured Reserve,PIT,Knee,17
Glenn Winston,CLE,2016,2017-01-01,Injured Reserve,PIT,Shoulder,17
Dylan Wynn,CLE,2016,2017-01-01,Injured Reserve,PIT,Ankle,17
James Hanna,DAL,2016,2016-09-11,Injured Reserve,NYG,Knee,1
Rolando McClain,DAL,2016,2016-09-11,Injured Reserve,NYG,Suspension,1
Darren McFadden,DAL,2016,2016-09-11,Injured Reserve,NYG,Elbow,1
Kellen Moore,DAL,2016,2016-09-11,Injured Reserve,NYG,Ankle,1
Mark Nzeocha,DAL,2016,2016-09-11,Out,NYG,Achilles,1
Tony Romo,DAL,2016,2016-09-11,Out,NYG,back,1
Jaylon Smith,DAL,2016,2016-09-11,Injured Reserve,NYG,Knee,1
Charles Tapper,DAL,2016,2016-09-11,Injured Reserve,NYG,Back,1
Josh Thomas,DAL,2016,2016-09-11,Injured Reserve,NYG,Thumb,1
James Hanna,DAL,2016,2016-09-18,Injured Reserve,WAS,Knee,2
Rolando McClain,DAL,2016,2016-09-18,Injured Reserve,WAS,Suspension,2
Darren McFadden,DAL,2016,2016-09-18,Injured Reserve,WAS,Elbow,2
Kellen Moore,DAL,2016,2016-09-18,Injured Reserve,WAS,Ankle,2
Mark Nzeocha,DAL,2016,2016-09-18,Out,WAS,Achilles,2
Tony Romo,DAL,2016,2016-09-18,Out,WAS,back,2
Orlando Scandrick,DAL,2016,2016-09-18,Questionable,WAS,hamstring,2
Jaylon Smith,DAL,2016,2016-09-18,Injured Reserve,WAS,Knee,2
Geoff Swaim,DAL,2016,2016-09-18,Questionable,WAS,ankle,2
Charles Tapper,DAL,2016,2016-09-18,Injured Reserve,WAS,Back,2
Josh Thomas,DAL,2016,2016-09-18,Injured Reserve,WAS,Thumb,2
Doug Free,DAL,2016,2016-09-25,Questionable,CHI,quadriceps,3
James Hanna,DAL,2016,2016-09-25,Injured Reserve,CHI,Knee,3
Rolando McClain,DAL,2016,2016-09-25,Injured Reserve,CHI,Suspension,3
Darren McFadden,DAL,2016,2016-09-25,Injured Reserve,CHI,Elbow,3
Kellen Moore,DAL,2016,2016-09-25,Injured Reserve,CHI,Ankle,3
Mark Nzeocha,DAL,2016,2016-09-25,Doubtful,CHI,Achilles,3
Tony Romo,DAL,2016,2016-09-25,Out,CHI,back,3
Orlando Scandrick,DAL,2016,2016-09-25,Questionable,CHI,hamstring,3
Jaylon Smith,DAL,2016,2016-09-25,Injured Reserve,CHI,Knee,3
Charles Tapper,DAL,2016,2016-09-25,Injured Reserve,CHI,Back,3
Josh Thomas,DAL,2016,2016-09-25,Injured Reserve,CHI,Thumb,3
Dez Bryant,DAL,2016,2016-10-02,Questionable,SFO,knee,4
La'el Collins,DAL,2016,2016-10-02,Out,SFO,toe,4
Doug Free,DAL,2016,2016-10-02,Questionable,SFO,quadriceps,4
Andrew Gachkar,DAL,2016,2016-10-02,Questionable,SFO,neck,4
James Hanna,DAL,2016,2016-10-02,Injured Reserve,SFO,Knee,4
Jeff Heath,DAL,2016,2016-10-02,Questionable,SFO,knee,4
Rolando McClain,DAL,2016,2016-10-02,Injured Reserve,SFO,Suspension,4
Darren McFadden,DAL,2016,2016-10-02,Injured Reserve,SFO,Elbow,4
Kellen Moore,DAL,2016,2016-10-02,Injured Reserve,SFO,Ankle,4
Mark Nzeocha,DAL,2016,2016-10-02,Questionable,SFO,Achilles,4
Tony Romo,DAL,2016,2016-10-02,Out,SFO,back,4
Orlando Scandrick,DAL,2016,2016-10-02,Questionable,SFO,hamstring,4
Jaylon Smith,DAL,2016,2016-10-02,Injured Reserve,SFO,Knee,4
Tyron Smith,DAL,2016,2016-10-02,Questionable,SFO,back,4
Charles Tapper,DAL,2016,2016-10-02,Injured Reserve,SFO,Back,4
Josh Thomas,DAL,2016,2016-10-02,Injured Reserve,SFO,Thumb,4
Dan Bailey,DAL,2016,2016-10-09,Questionable,CIN,back,5
Dez Bryant,DAL,2016,2016-10-09,Questionable,CIN,knee,5
La'el Collins,DAL,2016,2016-10-09,Injured Reserve,CIN,Foot,5
Andrew Gachkar,DAL,2016,2016-10-09,Questionable,CIN,neck,5
Chaz Green,DAL,2016,2016-10-09,Injured Reserve,CIN,Foot,5
James Hanna,DAL,2016,2016-10-09,Injured Reserve,CIN,Knee,5
David Irving,DAL,2016,2016-10-09,Out,CIN,concussion,5
Rolando McClain,DAL,2016,2016-10-09,Injured Reserve,CIN,Suspension,5
Darren McFadden,DAL,2016,2016-10-09,Injured Reserve,CIN,Elbow,5
Kellen Moore,DAL,2016,2016-10-09,Injured Reserve,CIN,Ankle,5
Mark Nzeocha,DAL,2016,2016-10-09,Questionable,CIN,Achilles,5
Tony Romo,DAL,2016,2016-10-09,Out,CIN,back,5
Orlando Scandrick,DAL,2016,2016-10-09,Questionable,CIN,hamstring,5
Jaylon Smith,DAL,2016,2016-10-09,Injured Reserve,CIN,Knee,5
Tyron Smith,DAL,2016,2016-10-09,Questionable,CIN,back,5
Charles Tapper,DAL,2016,2016-10-09,Injured Reserve,CIN,Back,5
Josh Thomas,DAL,2016,2016-10-09,Injured Reserve,CIN,Thumb,5
Dan Bailey,DAL,2016,2016-10-16,Questionable,GNB,back,6
Dez Bryant,DAL,2016,2016-10-16,Questionable,GNB,knee,6
La'el Collins,DAL,2016,2016-10-16,Injured Reserve,GNB,Foot,6
Chaz Green,DAL,2016,2016-10-16,Injured Reserve,GNB,Foot,6
James Hanna,DAL,2016,2016-10-16,Injured Reserve,GNB,Knee,6
David Irving,DAL,2016,2016-10-16,Questionable,GNB,concussion,6
Rolando McClain,DAL,2016,2016-10-16,Injured Reserve,GNB,Suspension,6
Darren McFadden,DAL,2016,2016-10-16,Injured Reserve,GNB,Elbow,6
Kellen Moore,DAL,2016,2016-10-16,Injured Reserve,GNB,Ankle,6
Tony Romo,DAL,2016,2016-10-16,Out,GNB,back,6
Orlando Scandrick,DAL,2016,2016-10-16,Out,GNB,hamstring,6
Jaylon Smith,DAL,2016,2016-10-16,Injured Reserve,GNB,Knee,6
Tyron Smith,DAL,2016,2016-10-16,Questionable,GNB,back,6
Charles Tapper,DAL,2016,2016-10-16,Injured Reserve,GNB,Back,6
Josh Thomas,DAL,2016,2016-10-16,Injured Reserve,GNB,Thumb,6
Kyle Wilber,DAL,2016,2016-10-16,Questionable,GNB,neck,6
Terrance Williams,DAL,2016,2016-10-16,Questionable,GNB,shoulder,6
Jason Witten,DAL,2016,2016-10-16,Questionable,GNB,chest,6
Dez Bryant,DAL,2016,2016-10-30,Questionable,PHI,knee,8
La'el Collins,DAL,2016,2016-10-30,Injured Reserve,PHI,Foot,8
Chaz Green,DAL,2016,2016-10-30,Injured Reserve,PHI,Foot,8
James Hanna,DAL,2016,2016-10-30,Injured Reserve,PHI,Knee,8
David Irving,DAL,2016,2016-10-30,Questionable,PHI,ankle,8
DeMarcus Lawrence,DAL,2016,2016-10-30,Questionable,PHI,"back, shoulder",8
Rolando McClain,DAL,2016,2016-10-30,Injured Reserve,PHI,Suspension,8
Darren McFadden,DAL,2016,2016-10-30,Injured Reserve,PHI,Elbow,8
Kellen Moore,DAL,2016,2016-10-30,Injured Reserve,PHI,Ankle,8
Tony Romo,DAL,2016,2016-10-30,Out,PHI,back,8
Orlando Scandrick,DAL,2016,2016-10-30,Questionable,PHI,hamstring,8
Jaylon Smith,DAL,2016,2016-10-30,Injured Reserve,PHI,Knee,8
Tyron Smith,DAL,2016,2016-10-30,Questionable,PHI,back,8
Charles Tapper,DAL,2016,2016-10-30,Injured Reserve,PHI,Back,8
Josh Thomas,DAL,2016,2016-10-30,Injured Reserve,PHI,Thumb,8
Kyle Wilber,DAL,2016,2016-10-30,Questionable,PHI,neck,8
Jason Witten,DAL,2016,2016-10-30,Questionable,PHI,chest,8
Dez Bryant,DAL,2016,2016-11-06,Questionable,CLE,"knee, back",9
La'el Collins,DAL,2016,2016-11-06,Injured Reserve,CLE,Foot,9
Maliek Collins,DAL,2016,2016-11-06,Questionable,CLE,knee,9
Chaz Green,DAL,2016,2016-11-06,Injured Reserve,CLE,Foot,9
James Hanna,DAL,2016,2016-11-06,Injured Reserve,CLE,Knee,9
Anthony Hitchens,DAL,2016,2016-11-06,Questionable,CLE,knee,9
DeMarcus Lawrence,DAL,2016,2016-11-06,Questionable,CLE,"back, shoulder",9
Rolando McClain,DAL,2016,2016-11-06,Injured Reserve,CLE,Suspension,9
Kellen Moore,DAL,2016,2016-11-06,Injured Reserve,CLE,Ankle,9
Tony Romo,DAL,2016,2016-11-06,Out,CLE,back,9
Jaylon Smith,DAL,2016,2016-11-06,Injured Reserve,CLE,Knee,9
Tyron Smith,DAL,2016,2016-11-06,Questionable,CLE,back,9
Charles Tapper,DAL,2016,2016-11-06,Injured Reserve,CLE,Back,9
Josh Thomas,DAL,2016,2016-11-06,Injured Reserve,CLE,Thumb,9
Dez Bryant,DAL,2016,2016-11-13,Questionable,PIT,knee,10
La'el Collins,DAL,2016,2016-11-13,Injured Reserve,PIT,Foot,10
Chaz Green,DAL,2016,2016-11-13,Injured Reserve,PIT,Foot,10
James Hanna,DAL,2016,2016-11-13,Injured Reserve,PIT,Knee,10
DeMarcus Lawrence,DAL,2016,2016-11-13,Questionable,PIT,"back, shoulder",10
Rolando McClain,DAL,2016,2016-11-13,Injured Reserve,PIT,Suspension,10
Darren McFadden,DAL,2016,2016-11-13,Injured Reserve,PIT,Elbow,10
Kellen Moore,DAL,2016,2016-11-13,Injured Reserve,PIT,Ankle,10
Tony Romo,DAL,2016,2016-11-13,Questionable,PIT,back,10
Jaylon Smith,DAL,2016,2016-11-13,Injured Reserve,PIT,Knee,10
Tyron Smith,DAL,2016,2016-11-13,Questionable,PIT,back,10
Charles Tapper,DAL,2016,2016-11-13,Injured Reserve,PIT,Back,10
Josh Thomas,DAL,2016,2016-11-13,Injured Reserve,PIT,Thumb,10
Dez Bryant,DAL,2016,2016-11-20,Questionable,BAL,back,11
La'el Collins,DAL,2016,2016-11-20,Injured Reserve,BAL,Foot,11
Chaz Green,DAL,2016,2016-11-20,Injured Reserve,BAL,Foot,11
James Hanna,DAL,2016,2016-11-20,Injured Reserve,BAL,Knee,11
DeMarcus Lawrence,DAL,2016,2016-11-20,Questionable,BAL,back,11
Rolando McClain,DAL,2016,2016-11-20,Injured Reserve,BAL,Suspension,11
Darren McFadden,DAL,2016,2016-11-20,Injured Reserve,BAL,Elbow,11
Kellen Moore,DAL,2016,2016-11-20,Injured Reserve,BAL,Ankle,11
Tony Romo,DAL,2016,2016-11-20,Questionable,BAL,back,11
Jaylon Smith,DAL,2016,2016-11-20,Injured Reserve,BAL,Knee,11
Tyron Smith,DAL,2016,2016-11-20,Questionable,BAL,"back, Hip",11
Geoff Swaim,DAL,2016,2016-11-20,Injured Reserve,BAL,Pectoral,11
Charles Tapper,DAL,2016,2016-11-20,Injured Reserve,BAL,Back,11
Josh Thomas,DAL,2016,2016-11-20,Injured Reserve,BAL,Thumb,11
Dez Bryant,DAL,2016,2016-11-24,Questionable,WAS,back,12
La'el Collins,DAL,2016,2016-11-24,Injured Reserve,WAS,Foot,12
Chaz Green,DAL,2016,2016-11-24,Injured Reserve,WAS,Foot,12
James Hanna,DAL,2016,2016-11-24,Injured Reserve,WAS,Knee,12
DeMarcus Lawrence,DAL,2016,2016-11-24,Questionable,WAS,back,12
Rolando McClain,DAL,2016,2016-11-24,Injured Reserve,WAS,Suspension,12
Darren McFadden,DAL,2016,2016-11-24,Injured Reserve,WAS,Elbow,12
Kellen Moore,DAL,2016,2016-11-24,Injured Reserve,WAS,Ankle,12
Jaylon Smith,DAL,2016,2016-11-24,Injured Reserve,WAS,Knee,12
Tyron Smith,DAL,2016,2016-11-24,Questionable,WAS,"back, Hip",12
Geoff Swaim,DAL,2016,2016-11-24,Injured Reserve,WAS,Pectoral,12
Charles Tapper,DAL,2016,2016-11-24,Injured Reserve,WAS,Back,12
Josh Thomas,DAL,2016,2016-11-24,Injured Reserve,WAS,Thumb,12
La'el Collins,DAL,2016,2016-12-01,Injured Reserve,MIN,Foot,13
Justin Durant,DAL,2016,2016-12-01,Out,MIN,hamstring,13
Chaz Green,DAL,2016,2016-12-01,Injured Reserve,MIN,Foot,13
James Hanna,DAL,2016,2016-12-01,Injured Reserve,MIN,Knee,13
David Irving,DAL,2016,2016-12-01,Questionable,MIN,illness,13
