Player,Team,Season,Player_Address,09/13vs. SFO,09/20vs. WAS,09/27vs. DET,10/04vs. CAR,10/11vs. NYJ,10/19vs. DAL,10/25vs. SEA,11/08vs. MIA,11/15vs. BUF,11/19vs. SEA,11/29vs. NWE,12/06vs. LAR,12/13vs. NYG,12/20vs. PHI,12/26vs. SFO,01/03vs. LAR,Player_Address,09/13vs. SEA,09/20vs. DAL,09/27vs. CHI,10/05vs. GNB,10/11vs. CAR,10/18vs. MIN,10/25vs. DET,10/29vs. CAR,11/08vs. DEN,11/22vs. NOR,11/29vs. LVR,12/06vs. NOR,12/13vs. LAC,12/20vs. TAM,12/27vs. KAN,01/03vs. TAM,Player_Address,09/13vs. CLE,09/20vs. HOU,09/28vs. KAN,10/04vs. WAS,10/11vs. CIN,10/18vs. PHI,11/01vs. PIT,11/08vs. IND,11/15vs. NWE,11/22vs. TEN,12/02vs. PIT,12/08vs. DAL,12/14vs. CLE,12/20vs. JAX,12/27vs. NYG,01/03vs. CIN,01/10vs. TEN,01/16vs. BUF,Player_Address,09/13vs. NYJ,09/20vs. MIA,09/27vs. LAR,10/04vs. LVR,10/13vs. TEN,10/19vs. KAN,10/25vs. NYJ,11/01vs. NWE,11/08vs. SEA,11/15vs. ARI,11/29vs. LAC,12/07vs. SFO,12/13vs. PIT,12/19vs. DEN,12/28vs. NWE,01/03vs. MIA,01/09vs. IND,01/16vs. BAL,01/24vs. KAN,Player_Address,09/13vs. LVR,09/20vs. TAM,09/27vs. LAC,10/04vs. ARI,10/11vs. ATL,10/18vs. CHI,10/25vs. NOR,10/29vs. ATL,11/08vs. KAN,11/15vs. TAM,11/22vs. DET,11/29vs. MIN,12/13vs. DEN,12/19vs. GNB,12/27vs. WAS,01/03vs. NOR,Player_Address,09/13vs. DET,09/20vs. NYG,09/27vs. ATL,10/04vs. IND,10/08vs. TAM,10/18vs. CAR,10/26vs. LAR,11/01vs. NOR,11/08vs. TEN,11/16vs. MIN,11/29vs. GNB,12/06vs. DET,12/13vs. HOU,12/20vs. MIN,12/27vs. JAX,01/03vs. GNB,01/10vs. NOR,Player_Address,09/13vs. LAC,09/17vs. CLE,09/27vs. PHI,10/04vs. JAX,10/11vs. BAL,10/18vs. IND,10/25vs. CLE,11/01vs. TEN,11/15vs. PIT,11/22vs. WAS,11/29vs. NYG,12/06vs. MIA,12/13vs. DAL,12/21vs. PIT,12/27vs. HOU,01/03vs. BAL,09/13vs. BAL,09/17vs. CIN,09/27vs. WAS,10/04vs. DAL,10/11vs. IND,10/18vs. PIT,10/25vs. CIN,11/01vs. LVR,11/15vs. HOU,11/22vs. PHI,11/29vs. JAX,12/06vs. TEN,12/14vs. BAL,12/20vs. NYG,12/27vs. NYJ,01/03vs. PIT,01/10vs. PIT,01/17vs. KAN,Player_Address,09/13vs. LAR,09/20vs. ATL,09/27vs. SEA,10/04vs. CLE,10/11vs. NYG,10/19vs. ARI,10/25vs. WAS,11/01vs. PHI,11/08vs. PIT,11/22vs. MIN,11/26vs. WAS,12/08vs. BAL,12/13vs. CIN,12/20vs. SFO,12/27vs. PHI,01/03vs. NYG,Player_Address,09/14vs. TEN,09/20vs. PIT,09/27vs. TAM,10/01vs. NYJ,10/18vs. NWE,10/25vs. KAN,11/01vs. LAC,11/08vs. ATL,11/15vs. LVR,11/22vs. MIA,11/29vs. NOR,12/06vs. KAN,12/13vs. CAR,12/19vs. BUF,12/27vs. LAC,01/03vs. LVR,09/13vs. CHI,09/20vs. GNB,09/27vs. ARI,10/04vs. NOR,10/18vs. JAX,10/25vs. ATL,11/01vs. IND,11/08vs. MIN,11/15vs. WAS,11/22vs. CAR,11/26vs. HOU,12/06vs. CHI,12/13vs. GNB,12/20vs. TEN,12/26vs. TAM,01/03vs. MIN,Player_Address,09/13vs. MIN,09/20vs. DET,09/27vs. NOR,10/05vs. ATL,10/18vs. TAM,10/25vs. HOU,11/01vs. MIN,11/05vs. SFO,11/15vs. JAX,11/22vs. IND,11/29vs. CHI,12/06vs. PHI,12/13vs. DET,12/19vs. CAR,12/27vs. TEN,01/03vs. CHI,01/16vs. LAR,01/24vs. TAM,Player_Address,09/10vs. KAN,09/20vs. BAL,09/27vs. PIT,10/04vs. MIN,10/11vs. JAX,10/18vs. TEN,10/25vs. GNB,11/08vs. JAX,11/15vs. CLE,11/22vs. NWE,11/26vs. DET,12/06vs. IND,12/13vs. CHI,12/20vs. IND,12/27vs. CIN,01/03vs. TEN,Player_Address,09/13vs. JAX,09/20vs. MIN,09/27vs. NYJ,10/04vs. CHI,10/11vs. CLE,10/18vs. CIN,11/01vs. DET,11/08vs. BAL,11/12vs. TEN,11/22vs. GNB,11/29vs. TEN,12/06vs. HOU,12/13vs. LVR,12/20vs. HOU,12/27vs. PIT,01/03vs. JAX,01/09vs. BUF,09/13vs. IND,09/20vs. TEN,09/24vs. MIA,10/04vs. CIN,10/11vs. HOU,10/18vs. DET,10/25vs. LAC,11/08vs. HOU,11/15vs. GNB,11/22vs. PIT,11/29vs. CLE,12/06vs. MIN,12/13vs. TEN,12/20vs. BAL,12/27vs. CHI,01/03vs. IND,09/10vs. HOU,09/20vs. LAC,09/28vs. BAL,10/05vs. NWE,10/11vs. LVR,10/19vs. BUF,10/25vs. DEN,11/01vs. NYJ,11/08vs. CAR,11/22vs. LVR,11/29vs. TAM,12/06vs. DEN,12/13vs. MIA,12/20vs. NOR,12/27vs. ATL,01/03vs. LAC,01/17vs. CLE,01/24vs. BUF,02/07vs. TAM,09/13vs. CIN,09/20vs. KAN,09/27vs. CAR,10/04vs. TAM,10/12vs. NOR,10/25vs. JAX,11/01vs. DEN,11/08vs. LVR,11/15vs. MIA,11/22vs. NYJ,11/29vs. BUF,12/06vs. NWE,12/13vs. ATL,12/17vs. LVR,12/27vs. DEN,01/03vs. KAN,09/13vs. DAL,09/20vs. PHI,09/27vs. BUF,10/04vs. NYG,10/11vs. WAS,10/18vs. SFO,10/26vs. CHI,11/01vs. MIA,11/15vs. SEA,11/23vs. TAM,11/29vs. SFO,12/06vs. ARI,12/10vs. NWE,12/20vs. NYJ,12/27vs. SEA,01/03vs. ARI,01/09vs. SEA,01/16vs. GNB,Player_Address,09/13vs. NWE,09/20vs. BUF,09/24vs. JAX,10/04vs. SEA,10/11vs. SFO,10/18vs. NYJ,11/01vs. LAR,11/08vs. ARI,11/15vs. LAC,11/22vs. DEN,11/29vs. NYJ,12/06vs. CIN,12/13vs. KAN,12/20vs. NWE,12/26vs. LVR,01/03vs. BUF,09/13vs. GNB,09/20vs. IND,09/27vs. TEN,10/04vs. HOU,10/11vs. SEA,10/18vs. ATL,11/01vs. GNB,11/08vs. DET,11/16vs. CHI,11/22vs. DAL,11/29vs. CAR,12/06vs. JAX,12/13vs. TAM,12/20vs. CHI,12/25vs. NOR,01/03vs. DET,Player_Address,09/13vs. TAM,09/21vs. LVR,09/27vs. GNB,10/04vs. DET,10/12vs. LAC,10/25vs. CAR,11/01vs. CHI,11/08vs. TAM,11/15vs. SFO,11/22vs. ATL,11/29vs. DEN,12/06vs. ATL,12/13vs. PHI,12/20vs. KAN,12/25vs. MIN,01/03vs. CAR,01/10vs. CHI,01/17vs. TAM,09/13vs. MIA,09/20vs. SEA,09/27vs. LVR,10/05vs. KAN,10/18vs. DEN,10/25vs. SFO,11/01vs. BUF,11/09vs. NYJ,11/15vs. BAL,11/22vs. HOU,11/29vs. ARI,12/06vs. LAC,12/10vs. LAR,12/20vs. MIA,12/28vs. BUF,01/03vs. NYJ,Player_Address,09/14vs. PIT,09/20vs. CHI,09/27vs. SFO,10/04vs. LAR,10/11vs. DAL,10/18vs. WAS,10/22vs. PHI,11/02vs. TAM,11/08vs. WAS,11/15vs. PHI,11/29vs. CIN,12/06vs. SEA,12/13vs. ARI,12/20vs. CLE,12/27vs. BAL,01/03vs. DAL,09/13vs. BUF,09/20vs. SFO,09/27vs. IND,10/01vs. DEN,10/11vs. ARI,10/18vs. MIA,10/25vs. BUF,11/01vs. KAN,11/09vs. NWE,11/22vs. LAC,11/29vs. MIA,12/06vs. LVR,12/13vs. SEA,12/20vs. LAR,12/27vs. CLE,01/03vs. NWE,09/13vs. CAR,09/21vs. NOR,09/27vs. NWE,10/04vs. BUF,10/11vs. KAN,10/25vs. TAM,11/01vs. CLE,11/08vs. LAC,11/15vs. DEN,11/22vs. KAN,11/29vs. ATL,12/06vs. NYJ,12/13vs. IND,12/17vs. LAC,12/26vs. MIA,01/03vs. DEN,Player_Address,09/13vs. WAS,09/20vs. LAR,09/27vs. CIN,10/04vs. SFO,10/11vs. PIT,10/18vs. BAL,10/22vs. NYG,11/01vs. DAL,11/15vs. NYG,11/22vs. CLE,11/30vs. SEA,12/06vs. GNB,12/13vs. NOR,12/20vs. ARI,12/27vs. DAL,01/03vs. WAS,09/14vs. NYG,09/20vs. DEN,09/27vs. HOU,10/11vs. PHI,10/18vs. CLE,10/25vs. TEN,11/01vs. BAL,11/08vs. DAL,11/15vs. CIN,11/22vs. JAX,12/02vs. BAL,12/07vs. WAS,12/13vs. BUF,12/21vs. CIN,12/27vs. IND,01/03vs. CLE,01/10vs. CLE,09/13vs. ATL,09/20vs. NWE,09/27vs. DAL,10/04vs. MIA,10/11vs. MIN,10/25vs. ARI,11/01vs. SFO,11/08vs. BUF,11/15vs. LAR,11/19vs. ARI,11/30vs. PHI,12/06vs. NYG,12/13vs. NYJ,12/20vs. WAS,12/27vs. LAR,01/03vs. SFO,01/09vs. LAR,09/13vs. ARI,09/20vs. NYJ,09/27vs. NYG,10/04vs. PHI,10/11vs. MIA,10/18vs. LAR,10/25vs. NWE,11/01vs. SEA,11/05vs. GNB,11/15vs. NOR,11/29vs. LAR,12/07vs. BUF,12/13vs. WAS,12/20vs. DAL,12/26vs. ARI,01/03vs. SEA,09/13vs. NOR,09/20vs. CAR,09/27vs. DEN,10/04vs. LAC,10/08vs. CHI,10/18vs. GNB,10/25vs. LVR,11/02vs. NYG,11/08vs. NOR,11/15vs. CAR,11/23vs. LAR,11/29vs. KAN,12/13vs. MIN,12/20vs. ATL,12/26vs. DET,01/03vs. ATL,01/09vs. WAS,01/17vs. NOR,01/24vs. GNB,02/07vs. KAN,09/14vs. DEN,09/20vs. JAX,09/27vs. MIN,10/13vs. BUF,10/18vs. HOU,10/25vs. PIT,11/01vs. CIN,11/08vs. CHI,11/12vs. IND,11/22vs. BAL,11/29vs. IND,12/06vs. CLE,12/13vs. JAX,12/20vs. DET,12/27vs. GNB,01/03vs. HOU,01/10vs. BAL,09/13vs. PHI,09/20vs. ARI,09/27vs. CLE,10/04vs. BAL,10/11vs. LAR,10/18vs. NYG,10/25vs. DAL,11/08vs. NYG,11/15vs. DET,11/22vs. CIN,11/26vs. DAL,12/07vs. PIT,12/13vs. SFO,12/20vs. SEA,12/27vs. CAR,01/03vs. PHI,01/09vs. TAM
Robert Alford,crd,2020,/players/A/AlfoRo00,,,,,,,,,,,Injured Reserve: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Allen,crd,2020,/players/A/AlleZa01,,,,,,,,Injured Reserve: ,Injured Reserve: ,,Injured Reserve: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Arnold,crd,2020,/players/A/ArnoDa00,,,,,,,,,,,,,,,Questionable: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budda Baker,crd,2020,/players/B/BakeBu00,,,,Out: Thumb,,,,,Questionable: Groin,,,,,,,Questionable: Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Banjo,crd,2020,/players/B/BanjCh00,,,,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,,C19: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelvin Beachum,crd,2020,/players/B/BeacKe00,,,,,,,Questionable: Ankle,,,,,,Questionable: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelo Blackson,crd,2020,/players/B/BlacAn00,,,,,,,,,,,,Questionable: Illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Vondre Campbell,crd,2020,/players/C/CampDe00,,,,,,,,,,Questionable: Calf,,,Questionable: Ankle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Cole,crd,2020,/players/C/ColeMa02,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Daniels,crd,2020,/players/D/DaniDa02,,,,,Questionable: Thigh,,,,,Questionable: Ankle,Out: Ankle,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
