Player,Team,Season,Player_Address,09/13vs. NOR,09/20vs. CHI,09/27vs. SFO,10/04vs. STL,10/11vs. DET,10/18vs. PIT,10/26vs. BAL,11/01vs. CLE,11/15vs. SEA,11/22vs. CIN,11/29vs. SFO,12/06vs. STL,12/10vs. MIN,12/20vs. PHI,12/27vs. GNB,01/03vs. SEA,01/16vs. GNB,01/24vs. CAR,Player_Address,09/14vs. PHI,09/20vs. NYG,09/27vs. DAL,10/04vs. HOU,10/11vs. WAS,10/15vs. NOR,10/25vs. TEN,11/01vs. TAM,11/08vs. SFO,11/22vs. IND,11/29vs. MIN,12/06vs. TAM,12/13vs. CAR,12/20vs. JAX,12/27vs. CAR,01/03vs. NOR,Player_Address,09/13vs. DEN,09/20vs. OAK,09/27vs. CIN,10/01vs. PIT,10/11vs. CLE,10/18vs. SFO,10/26vs. ARI,11/01vs. SDG,11/15vs. JAX,11/22vs. STL,11/30vs. CLE,12/06vs. MIA,12/13vs. SEA,12/20vs. KAN,12/27vs. PIT,01/03vs. CIN,Player_Address,09/13vs. IND,09/20vs. NWE,09/27vs. MIA,10/04vs. NYG,10/11vs. TEN,10/18vs. CIN,10/25vs. JAX,11/08vs. MIA,11/12vs. NYJ,11/23vs. NWE,11/29vs. KAN,12/06vs. HOU,12/13vs. PHI,12/20vs. WAS,12/27vs. DAL,01/03vs. NYJ,Player_Address,09/13vs. JAX,09/20vs. HOU,09/27vs. NOR,10/04vs. TAM,10/18vs. SEA,10/25vs. PHI,11/02vs. IND,11/08vs. GNB,11/15vs. TEN,11/22vs. WAS,11/26vs. DAL,12/06vs. NOR,12/13vs. ATL,12/20vs. NYG,12/27vs. ATL,01/03vs. TAM,01/17vs. SEA,01/24vs. ARI,02/07vs. DEN,Player_Address,09/13vs. GNB,09/20vs. ARI,09/27vs. SEA,10/04vs. OAK,10/11vs. KAN,10/18vs. DET,11/01vs. MIN,11/09vs. SDG,11/15vs. STL,11/22vs. DEN,11/26vs. GNB,12/06vs. SFO,12/13vs. WAS,12/20vs. MIN,12/27vs. TAM,01/03vs. DET,Player_Address,09/13vs. OAK,09/20vs. SDG,09/27vs. BAL,10/04vs. KAN,10/11vs. SEA,10/18vs. BUF,11/01vs. PIT,11/05vs. CLE,11/16vs. HOU,11/22vs. ARI,11/29vs. STL,12/06vs. CLE,12/13vs. PIT,12/20vs. SFO,12/28vs. DEN,01/03vs. BAL,01/09vs. PIT,Player_Address,09/13vs. NYJ,09/20vs. TEN,09/27vs. OAK,10/04vs. SDG,10/11vs. BAL,10/18vs. DEN,10/25vs. STL,11/01vs. ARI,11/05vs. CIN,11/15vs. PIT,11/30vs. BAL,12/06vs. CIN,12/13vs. SFO,12/20vs. SEA,12/27vs. KAN,01/03vs. PIT,Player_Address,09/13vs. NYG,09/20vs. PHI,09/27vs. ATL,10/04vs. NOR,10/11vs. NWE,10/25vs. NYG,11/01vs. SEA,11/08vs. PHI,11/15vs. TAM,11/22vs. MIA,11/26vs. CAR,12/07vs. WAS,12/13vs. GNB,12/19vs. NYJ,12/27vs. BUF,01/03vs. WAS,09/13vs. BAL,09/17vs. KAN,09/27vs. DET,10/04vs. MIN,10/11vs. OAK,10/18vs. CLE,11/01vs. GNB,11/08vs. IND,11/15vs. KAN,11/22vs. CHI,11/29vs. NWE,12/06vs. SDG,12/13vs. OAK,12/20vs. PIT,12/28vs. CIN,01/03vs. SDG,01/17vs. PIT,01/24vs. NWE,02/07vs. CAR,Player_Address,09/13vs. SDG,09/20vs. MIN,09/27vs. DEN,10/05vs. SEA,10/11vs. ARI,10/18vs. CHI,10/25vs. MIN,11/01vs. KAN,11/15vs. GNB,11/22vs. OAK,11/26vs. PHI,12/03vs. GNB,12/13vs. STL,12/21vs. NOR,12/27vs. SFO,01/03vs. CHI,09/13vs. CHI,09/20vs. SEA,09/28vs. KAN,10/04vs. SFO,10/11vs. STL,10/18vs. SDG,11/01vs. DEN,11/08vs. CAR,11/15vs. DET,11/22vs. MIN,11/26vs. CHI,12/03vs. DET,12/13vs. DAL,12/20vs. OAK,12/27vs. ARI,01/03vs. MIN,01/10vs. WAS,01/16vs. ARI,Player_Address,09/13vs. KAN,09/20vs. CAR,09/27vs. TAM,10/04vs. ATL,10/08vs. IND,10/18vs. JAX,10/25vs. MIA,11/01vs. TEN,11/16vs. CIN,11/22vs. NYJ,11/29vs. NOR,12/06vs. BUF,12/13vs. NWE,12/20vs. IND,12/27vs. TEN,01/03vs. JAX,01/09vs. KAN,09/13vs. BUF,09/21vs. NYJ,09/27vs. TEN,10/04vs. JAX,10/08vs. HOU,10/18vs. NWE,10/25vs. NOR,11/02vs. CAR,11/08vs. DEN,11/22vs. ATL,11/29vs. TAM,12/06vs. PIT,12/13vs. JAX,12/20vs. HOU,12/27vs. MIA,01/03vs. TEN,09/13vs. CAR,09/20vs. MIA,09/27vs. NWE,10/04vs. IND,10/11vs. TAM,10/18vs. HOU,10/25vs. BUF,11/08vs. NYJ,11/15vs. BAL,11/19vs. TEN,11/29vs. SDG,12/06vs. TEN,12/13vs. IND,12/20vs. ATL,12/27vs. NOR,01/03vs. HOU,09/13vs. HOU,09/17vs. DEN,09/28vs. GNB,10/04vs. CIN,10/11vs. CHI,10/18vs. MIN,10/25vs. PIT,11/01vs. DET,11/15vs. DEN,11/22vs. SDG,11/29vs. BUF,12/06vs. OAK,12/13vs. SDG,12/20vs. BAL,12/27vs. CLE,01/03vs. OAK,01/09vs. HOU,01/16vs. NWE,09/13vs. DET,09/20vs. CIN,09/27vs. MIN,10/04vs. CLE,10/12vs. PIT,10/18vs. GNB,10/25vs. OAK,11/01vs. BAL,11/09vs. CHI,11/22vs. KAN,11/29vs. JAX,12/06vs. DEN,12/13vs. KAN,12/20vs. MIA,12/24vs. OAK,01/03vs. DEN,Player_Address,09/13vs. SEA,09/20vs. WAS,09/27vs. PIT,10/04vs. ARI,10/11vs. GNB,10/25vs. CLE,11/01vs. SFO,11/08vs. MIN,11/15vs. CHI,11/22vs. BAL,11/29vs. CIN,12/06vs. ARI,12/13vs. DET,12/17vs. TAM,12/27vs. SEA,01/03vs. SFO,Player_Address,09/13vs. WAS,09/20vs. JAX,09/27vs. BUF,10/04vs. NYJ,10/18vs. TEN,10/25vs. HOU,10/29vs. NWE,11/08vs. BUF,11/15vs. PHI,11/22vs. DAL,11/29vs. NYJ,12/06vs. BAL,12/14vs. NYG,12/20vs. SDG,12/27vs. IND,01/03vs. NWE,Player_Address,09/14vs. SFO,09/20vs. DET,09/27vs. SDG,10/04vs. DEN,10/18vs. KAN,10/25vs. DET,11/01vs. CHI,11/08vs. STL,11/15vs. OAK,11/22vs. GNB,11/29vs. ATL,12/06vs. SEA,12/10vs. ARI,12/20vs. CHI,12/27vs. NYG,01/03vs. GNB,01/10vs. SEA,09/13vs. ARI,09/20vs. TAM,09/27vs. CAR,10/04vs. DAL,10/11vs. PHI,10/15vs. ATL,10/25vs. IND,11/01vs. NYG,11/08vs. TEN,11/15vs. WAS,11/29vs. HOU,12/06vs. CAR,12/13vs. TAM,12/21vs. DET,12/27vs. JAX,01/03vs. ATL,Player_Address,09/10vs. PIT,09/20vs. BUF,09/27vs. JAX,10/11vs. DAL,10/18vs. IND,10/25vs. NYJ,10/29vs. MIA,11/08vs. WAS,11/15vs. NYG,11/23vs. BUF,11/29vs. DEN,12/06vs. PHI,12/13vs. HOU,12/20vs. TEN,12/27vs. NYJ,01/03vs. MIA,01/16vs. KAN,01/24vs. DEN,09/13vs. DAL,09/20vs. ATL,09/24vs. WAS,10/04vs. BUF,10/11vs. SFO,10/19vs. PHI,10/25vs. DAL,11/01vs. NOR,11/08vs. TAM,11/15vs. NWE,11/29vs. WAS,12/06vs. NYJ,12/14vs. MIA,12/20vs. CAR,12/27vs. MIN,01/03vs. PHI,09/13vs. CLE,09/21vs. IND,09/27vs. PHI,10/04vs. MIA,10/18vs. WAS,10/25vs. NWE,11/01vs. OAK,11/08vs. JAX,11/12vs. BUF,11/22vs. HOU,11/29vs. MIA,12/06vs. NYG,12/13vs. TEN,12/19vs. DAL,12/27vs. NWE,01/03vs. BUF,09/13vs. CIN,09/20vs. BAL,09/27vs. CLE,10/04vs. CHI,10/11vs. DEN,10/25vs. SDG,11/01vs. NYJ,11/08vs. PIT,11/15vs. MIN,11/22vs. DET,11/29vs. TEN,12/06vs. KAN,12/13vs. DEN,12/20vs. GNB,12/24vs. SDG,01/03vs. KAN,09/14vs. ATL,09/20vs. DAL,09/27vs. NYJ,10/04vs. WAS,10/11vs. NOR,10/19vs. NYG,10/25vs. CAR,11/08vs. DAL,11/15vs. MIA,11/22vs. TAM,11/26vs. DET,12/06vs. NWE,12/13vs. BUF,12/20vs. ARI,12/26vs. WAS,01/03vs. NYG,09/10vs. NWE,09/20vs. SFO,09/27vs. STL,10/01vs. BAL,10/12vs. SDG,10/18vs. ARI,10/25vs. KAN,11/01vs. CIN,11/08vs. OAK,11/15vs. CLE,11/29vs. SEA,12/06vs. IND,12/13vs. CIN,12/20vs. DEN,12/27vs. BAL,01/03vs. CLE,01/09vs. CIN,01/17vs. DEN,09/13vs. STL,09/20vs. GNB,09/27vs. CHI,10/05vs. DET,10/11vs. CIN,10/18vs. CAR,10/22vs. SFO,11/01vs. DAL,11/15vs. ARI,11/22vs. SFO,11/29vs. PIT,12/06vs. MIN,12/13vs. BAL,12/20vs. CLE,12/27vs. STL,01/03vs. ARI,01/10vs. MIN,01/17vs. CAR,09/14vs. MIN,09/20vs. PIT,09/27vs. ARI,10/04vs. GNB,10/11vs. NYG,10/18vs. BAL,10/22vs. SEA,11/01vs. STL,11/08vs. ATL,11/22vs. SEA,11/29vs. ARI,12/06vs. CHI,12/13vs. CLE,12/20vs. CIN,12/27vs. DET,01/03vs. STL,Player_Address,09/13vs. TEN,09/20vs. NOR,09/27vs. HOU,10/04vs. CAR,10/11vs. JAX,10/25vs. WAS,11/01vs. ATL,11/08vs. NYG,11/15vs. DAL,11/22vs. PHI,11/29vs. IND,12/06vs. ATL,12/13vs. NOR,12/17vs. STL,12/27vs. CHI,01/03vs. CAR,09/13vs. TAM,09/20vs. CLE,09/27vs. IND,10/11vs. BUF,10/18vs. MIA,10/25vs. ATL,11/01vs. HOU,11/08vs. NOR,11/15vs. CAR,11/19vs. JAX,11/29vs. OAK,12/06vs. JAX,12/13vs. NYJ,12/20vs. NWE,12/27vs. HOU,01/03vs. IND,09/13vs. MIA,09/20vs. STL,09/24vs. NYG,10/04vs. PHI,10/11vs. ATL,10/18vs. NYJ,10/25vs. TAM,11/08vs. NWE,11/15vs. NOR,11/22vs. CAR,11/29vs. NYG,12/07vs. DAL,12/13vs. CHI,12/20vs. BUF,12/26vs. PHI,01/03vs. DAL,01/10vs. GNB
Justin Bethel,crd,2015,/players/B/BethJu00,,,,,Probable: Foot,Probable: Foot,Probable: Foot,Probable: Foot,,Probable: Illness,,,,,,,,Probable: Ankle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Brown,crd,2015,/players/B/BrowJo02,,,,Probable: Shoulder,,Probable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Probable: Hamstring,Probable: Hamstring,Probable: Hamstring,,,,,Probable: Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deone Bucannon,crd,2015,/players/B/BucaDe00,,Questionable: Groin,Probable: Groin,,,,,Probable: Elbow,,,Questionable: Concussion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calais Campbell,crd,2015,/players/C/CampCa99,,,,,,,,,,,Probable: Knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Christian,crd,2015,/players/C/ChriGe00,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Clemons,crd,2015,/players/C/ClemCh97,,,,,Probable: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Cooper,crd,2015,/players/C/CoopJo01,,,,,,,,,,Doubtful: Knee,Questionable: Knee,Probable: Knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Demens,crd,2015,/players/D/DemeKe00,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Ellington,crd,2015,/players/E/ElliAn00,,Out: Knee,Doubtful: Knee,Questionable: Knee,Probable: Knee,,,,,,,Out: Toe,Out: Toe,Questionable: Toe,Questionable: Toe,Probable: Toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Fells,crd,2015,/players/F/FellDa01,,,,,Questionable: Hip,Probable: Hip,Out: Shoulder,Out: Shoulder,Probable: Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
