Player,Team,Season,Player_Address,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA,Player_Address,09/10vs. CHI,09/17vs. GNB,09/24vs. DET,10/01vs. BUF,10/15vs. MIA,10/22vs. NWE,10/29vs. NYJ,11/05vs. CAR,11/12vs. DAL,11/20vs. SEA,11/26vs. TAM,12/03vs. MIN,12/07vs. NOR,12/18vs. TAM,12/24vs. NOR,12/31vs. CAR,01/06vs. LAR,01/13vs. PHI,Player_Address,09/10vs. CIN,09/17vs. CLE,09/24vs. JAX,10/01vs. PIT,10/08vs. OAK,10/15vs. CHI,10/22vs. MIN,10/26vs. MIA,11/05vs. TEN,11/19vs. GNB,11/27vs. HOU,12/03vs. DET,12/10vs. PIT,12/17vs. CLE,12/23vs. IND,12/31vs. CIN,Player_Address,09/10vs. NYJ,09/17vs. CAR,09/24vs. DEN,10/01vs. ATL,10/08vs. CIN,10/22vs. TAM,10/29vs. OAK,11/02vs. NYJ,11/12vs. NOR,11/19vs. LAC,11/26vs. KAN,12/03vs. NWE,12/10vs. IND,12/17vs. MIA,12/24vs. NWE,12/31vs. MIA,01/07vs. JAX,Player_Address,09/10vs. SFO,09/17vs. BUF,09/24vs. NOR,10/01vs. NWE,10/08vs. DET,10/12vs. PHI,10/22vs. CHI,10/29vs. TAM,11/05vs. ATL,11/13vs. MIA,11/26vs. NYJ,12/03vs. NOR,12/10vs. MIN,12/17vs. GNB,12/24vs. TAM,12/31vs. ATL,01/07vs. NOR,09/10vs. ATL,09/17vs. TAM,09/24vs. PIT,09/28vs. GNB,10/09vs. MIN,10/15vs. BAL,10/22vs. CAR,10/29vs. NOR,11/12vs. GNB,11/19vs. DET,11/26vs. PHI,12/03vs. SFO,12/10vs. CIN,12/16vs. DET,12/24vs. CLE,12/31vs. MIN,09/10vs. BAL,09/14vs. HOU,09/24vs. GNB,10/01vs. CLE,10/08vs. BUF,10/22vs. PIT,10/29vs. IND,11/05vs. JAX,11/12vs. TEN,11/19vs. DEN,11/26vs. CLE,12/04vs. PIT,12/10vs. CHI,12/17vs. MIN,12/24vs. DET,12/31vs. BAL,Player_Address,09/10vs. PIT,09/17vs. BAL,09/24vs. IND,10/01vs. CIN,10/08vs. NYJ,10/15vs. HOU,10/22vs. TEN,10/29vs. MIN,11/12vs. DET,11/19vs. JAX,11/26vs. CIN,12/03vs. LAC,12/10vs. GNB,12/17vs. BAL,12/24vs. CHI,12/31vs. PIT,Player_Address,09/10vs. NYG,09/17vs. DEN,09/25vs. ARI,10/01vs. LAR,10/08vs. GNB,10/22vs. SFO,10/29vs. WAS,11/05vs. KAN,11/12vs. ATL,11/19vs. PHI,11/23vs. LAC,11/30vs. WAS,12/10vs. NYG,12/17vs. OAK,12/24vs. SEA,12/31vs. PHI,Player_Address,09/11vs. LAC,09/17vs. DAL,09/24vs. BUF,10/01vs. OAK,10/15vs. NYG,10/22vs. LAC,10/30vs. KAN,11/05vs. PHI,11/12vs. NWE,11/19vs. CIN,11/26vs. OAK,12/03vs. MIA,12/10vs. NYJ,12/14vs. IND,12/24vs. WAS,12/31vs. KAN,09/10vs. ARI,09/18vs. NYG,09/24vs. ATL,10/01vs. MIN,10/08vs. CAR,10/15vs. NOR,10/29vs. PIT,11/06vs. GNB,11/12vs. CLE,11/19vs. CHI,11/23vs. MIN,12/03vs. BAL,12/10vs. TAM,12/16vs. CHI,12/24vs. CIN,12/31vs. GNB,Player_Address,09/10vs. SEA,09/17vs. ATL,09/24vs. CIN,09/28vs. CHI,10/08vs. DAL,10/15vs. MIN,10/22vs. NOR,11/06vs. DET,11/12vs. CHI,11/19vs. BAL,11/26vs. PIT,12/03vs. TAM,12/10vs. CLE,12/17vs. CAR,12/23vs. MIN,12/31vs. DET,Player_Address,09/10vs. JAX,09/14vs. CIN,09/24vs. NWE,10/01vs. TEN,10/08vs. KAN,10/15vs. CLE,10/29vs. SEA,11/05vs. IND,11/12vs. LAR,11/19vs. ARI,11/27vs. BAL,12/03vs. TEN,12/10vs. SFO,12/17vs. JAX,12/25vs. PIT,12/31vs. IND,Player_Address,09/10vs. LAR,09/17vs. ARI,09/24vs. CLE,10/01vs. SEA,10/08vs. SFO,10/16vs. TEN,10/22vs. JAX,10/29vs. CIN,11/05vs. HOU,11/12vs. PIT,11/26vs. TEN,12/03vs. JAX,12/10vs. BUF,12/14vs. DEN,12/23vs. BAL,12/31vs. HOU,09/10vs. HOU,09/17vs. TEN,09/24vs. BAL,10/01vs. NYJ,10/08vs. PIT,10/15vs. LAR,10/22vs. IND,11/05vs. CIN,11/12vs. LAC,11/19vs. CLE,11/26vs. ARI,12/03vs. IND,12/10vs. SEA,12/17vs. HOU,12/24vs. SFO,12/31vs. TEN,01/07vs. BUF,01/14vs. PIT,01/21vs. NWE,Player_Address,09/07vs. NWE,09/17vs. PHI,09/24vs. LAC,10/02vs. WAS,10/08vs. HOU,10/15vs. PIT,10/19vs. OAK,10/30vs. DEN,11/05vs. DAL,11/19vs. NYG,11/26vs. BUF,12/03vs. NYJ,12/10vs. OAK,12/16vs. LAC,12/24vs. MIA,12/31vs. DEN,01/06vs. TEN,09/11vs. DEN,09/17vs. MIA,09/24vs. KAN,10/01vs. PHI,10/08vs. NYG,10/15vs. OAK,10/22vs. DEN,10/29vs. NWE,11/12vs. JAX,11/19vs. BUF,11/23vs. DAL,12/03vs. CLE,12/10vs. WAS,12/16vs. KAN,12/24vs. NYJ,12/31vs. OAK,09/10vs. IND,09/17vs. WAS,09/21vs. SFO,10/01vs. DAL,10/08vs. SEA,10/15vs. JAX,10/22vs. ARI,11/05vs. NYG,11/12vs. HOU,11/19vs. MIN,11/26vs. NOR,12/03vs. ARI,12/10vs. PHI,12/17vs. SEA,12/24vs. TEN,12/31vs. SFO,01/06vs. ATL,Player_Address,09/17vs. LAC,09/24vs. NYJ,10/01vs. NOR,10/08vs. TEN,10/15vs. ATL,10/22vs. NYJ,10/26vs. BAL,11/05vs. OAK,11/13vs. CAR,11/19vs. TAM,11/26vs. NWE,12/03vs. DEN,12/11vs. NWE,12/17vs. BUF,12/24vs. KAN,12/31vs. BUF,Player_Address,09/11vs. NOR,09/17vs. PIT,09/24vs. TAM,10/01vs. DET,10/09vs. CHI,10/15vs. GNB,10/22vs. BAL,10/29vs. CLE,11/12vs. WAS,11/19vs. LAR,11/23vs. DET,12/03vs. ATL,12/10vs. CAR,12/17vs. CIN,12/23vs. GNB,12/31vs. CHI,01/14vs. NOR,01/21vs. PHI,09/11vs. MIN,09/17vs. NWE,09/24vs. CAR,10/01vs. MIA,10/15vs. DET,10/22vs. GNB,10/29vs. CHI,11/05vs. TAM,11/12vs. BUF,11/19vs. WAS,11/26vs. LAR,12/03vs. CAR,12/07vs. ATL,12/17vs. NYJ,12/24vs. ATL,12/31vs. TAM,01/07vs. CAR,01/14vs. MIN,09/07vs. KAN,09/17vs. NOR,09/24vs. HOU,10/01vs. CAR,10/05vs. TAM,10/15vs. NYJ,10/22vs. ATL,10/29vs. LAC,11/12vs. DEN,11/19vs. OAK,11/26vs. MIA,12/03vs. BUF,12/11vs. MIA,12/17vs. PIT,12/24vs. BUF,12/31vs. NYJ,01/13vs. TEN,01/21vs. JAX,02/04vs. PHI,09/10vs. DAL,09/18vs. DET,09/24vs. PHI,10/01vs. TAM,10/08vs. LAC,10/15vs. DEN,10/22vs. SEA,11/05vs. LAR,11/12vs. SFO,11/19vs. KAN,11/23vs. WAS,12/03vs. OAK,12/10vs. DAL,12/17vs. PHI,12/24vs. ARI,12/31vs. WAS,09/10vs. BUF,09/17vs. OAK,09/24vs. MIA,10/01vs. JAX,10/08vs. CLE,10/15vs. NWE,10/22vs. MIA,10/29vs. ATL,11/02vs. BUF,11/12vs. TAM,11/26vs. CAR,12/03vs. KAN,12/10vs. DEN,12/17vs. NOR,12/24vs. LAC,12/31vs. NWE,Player_Address,09/10vs. TEN,09/17vs. NYJ,09/24vs. WAS,10/01vs. DEN,10/08vs. BAL,10/15vs. LAC,10/19vs. KAN,10/29vs. BUF,11/05vs. MIA,11/19vs. NWE,11/26vs. DEN,12/03vs. NYG,12/10vs. KAN,12/17vs. DAL,12/25vs. PHI,12/31vs. LAC,Player_Address,09/10vs. WAS,09/17vs. KAN,09/24vs. NYG,10/01vs. LAC,10/08vs. ARI,10/12vs. CAR,10/23vs. WAS,10/29vs. SFO,11/05vs. DEN,11/19vs. DAL,11/26vs. CHI,12/03vs. SEA,12/10vs. LAR,12/17vs. NYG,12/25vs. OAK,12/31vs. DAL,01/13vs. ATL,01/21vs. MIN,02/04vs. NWE,09/10vs. CLE,09/17vs. MIN,09/24vs. CHI,10/01vs. BAL,10/08vs. JAX,10/15vs. KAN,10/22vs. CIN,10/29vs. DET,11/12vs. IND,11/16vs. TEN,11/26vs. GNB,12/04vs. CIN,12/10vs. BAL,12/17vs. NWE,12/25vs. HOU,12/31vs. CLE,01/14vs. JAX,09/10vs. GNB,09/17vs. SFO,09/24vs. TEN,10/01vs. IND,10/08vs. LAR,10/22vs. NYG,10/29vs. HOU,11/05vs. WAS,11/09vs. ARI,11/20vs. ATL,11/26vs. SFO,12/03vs. PHI,12/10vs. JAX,12/17vs. LAR,12/24vs. DAL,12/31vs. ARI,09/10vs. CAR,09/17vs. SEA,09/21vs. LAR,10/01vs. ARI,10/08vs. IND,10/15vs. WAS,10/22vs. DAL,10/29vs. PHI,11/05vs. ARI,11/12vs. NYG,11/26vs. SEA,12/03vs. CHI,12/10vs. HOU,12/17vs. TEN,12/24vs. JAX,12/31vs. LAR,Player_Address,09/17vs. CHI,09/24vs. MIN,10/01vs. NYG,10/05vs. NWE,10/15vs. ARI,10/22vs. BUF,10/29vs. CAR,11/05vs. NOR,11/12vs. NYJ,11/19vs. MIA,11/26vs. ATL,12/03vs. GNB,12/10vs. DET,12/18vs. ATL,12/24vs. CAR,12/31vs. NOR,09/10vs. OAK,09/17vs. JAX,09/24vs. SEA,10/01vs. HOU,10/08vs. MIA,10/16vs. IND,10/22vs. CLE,11/05vs. BAL,11/12vs. CIN,11/16vs. PIT,11/26vs. IND,12/03vs. HOU,12/10vs. ARI,12/17vs. SFO,12/24vs. LAR,12/31vs. JAX,01/06vs. KAN,01/13vs. NWE,09/10vs. PHI,09/17vs. LAR,09/24vs. OAK,10/02vs. KAN,10/15vs. SFO,10/23vs. PHI,10/29vs. DAL,11/05vs. SEA,11/12vs. MIN,11/19vs. NOR,11/23vs. NYG,11/30vs. DAL,12/10vs. LAC,12/17vs. ARI,12/24vs. DEN,12/31vs. NYG
Antoine Bethea,crd,2017,/players/B/BethAn20,,,,,,,,,,,,,,,Questionable: Knee,Injured Reserve: Pectoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Boone,crd,2017,/players/B/BoonAl21,,,,Out: Chest,Questionable: Chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyvon Branch,crd,2017,/players/B/BranTy99,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Brewer,crd,2017,/players/B/BrewAa00,,,,,,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Brown,crd,2017,/players/B/BrowJo02,,Out: Quadricep,Out: Quadricep,Questionable: Quadricep,Questionable: Quadricep,,,,,Questionable: Back,Out: Toe,Out: Toe,Out: Toe,Out: Toe,Questionable: Toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deone Bucannon,crd,2017,/players/B/BucaDe00,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,,,,,,,,Out: Ankle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Bynes,crd,2017,/players/B/ByneJo00,,,,,,,,,,,,,,,Out: Ankle,Questionable: Ankle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karlos Dansby,crd,2017,/players/D/DansKa20,,,,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Finger,,,,,,,Questionable: Knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Dobson,crd,2017,/players/D/DobsAa00,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Ellington,crd,2017,/players/E/ElliAn00,,,,,,,Questionable: Quadricep,Questionable: Quadricep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
