,Player,Team,Year,09/10vs. HOU,09/17vs. TEN,09/24vs. BAL,10/01vs. NYJ,10/08vs. PIT,10/15vs. LAR,10/22vs. IND,11/05vs. CIN,11/12vs. LAC,11/19vs. CLE,11/26vs. ARI,12/03vs. IND,12/10vs. SEA,12/17vs. HOU,12/24vs. SFO,12/31vs. TEN,01/07vs. BUF,01/14vs. PIT,01/21vs. NWE
0,Arrelious Benn,jax,2017,,,,,,Questionable: Groin,,,,Out: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
1,Michael Bennett,jax,2017,,,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
2,Blair Brown,jax,2017,,,,,,,,,,Questionable: Hamstring,,,,,,Questionable: Concussion,,Questionable: Ankle,
3,A.J. Cann,jax,2017,,,,,,,,Questionable: Triceps,Questionable: Triceps,,,,,,,,,,
4,Leonard Fournette ,jax,2017,,,,,,,Questionable: Ankle,,,Questionable: Ankle,,,,Questionable: Quadricep,,,,,
5,Tyler Gaffney,jax,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
6,Charles Gaines,jax,2017,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye,Injured Reserve: Eye
7,Tashaun Gipson,jax,2017,Questionable: Ankle,,,Questionable: Knee,,,Questionable: Neck,,,,,,,,,,,,Questionable: Foot
8,Rashad Greene,jax,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
9,Chad Henne,jax,2017,,,Questionable: Illness,,,,,,,,,,,,,,,,
